; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          61
; Pressure [atm]: npro=         120
; Data: nlat x npro:           61 x          120
; 
; Latitude:
      -26.492338      -25.573352      -24.656660      -23.743531      -22.833765
      -21.927430      -21.024224      -20.124213      -19.227095      -18.332840
      -17.441416      -16.552518      -15.667881      -14.783838      -13.903969
      -13.024358      -12.144628      -11.270870      -10.396733      -9.5241894
      -8.6530999      -7.7857569      -6.9146771      -6.0497842      -5.1832308
      -4.3174695      -3.4556445      -2.5912654      -1.7305871     -0.86357678
   -0.0057189067      0.86087795       1.7221476       2.5863828       3.4509670
       4.3160506       5.1817931       6.0462130       6.9137572       7.7822987
       8.6539704       9.5249741       10.397432       11.271483       12.147258
       13.023216       13.902824       14.782954       15.666996       16.554913
       17.442127       18.333554       19.227811       20.124842       21.024855
       21.928063       22.834401       23.744079       24.657208       25.572526
       26.492892
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
     0.877196     0.986117     0.988798      1.02514      1.03675      1.02629
      1.04295      1.04477      1.02481      1.02225      1.01204     0.981030
     0.946595     0.924980     0.902700     0.900489     0.910189     0.904756
     0.909830     0.904600     0.877404     0.828329     0.791044     0.748259
     0.730765     0.723313     0.731717     0.753620     0.772610     0.788834
     0.791406     0.807737     0.809151     0.808623     0.798235     0.863592
     0.937676      1.04183      1.12197      1.14745      1.15192      1.12769
      1.08605      1.06738      1.07386      1.05436      1.05502      1.02972
     0.965472     0.899336     0.835730     0.789329     0.780380     0.807713
     0.845284     0.901877     0.926104     0.892721     0.861581     0.750384
     0.733139
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
      1.62645      1.65646      1.66119      1.66510      1.67225      1.68380
      1.68159      1.66903      1.66483      1.65678      1.63882      1.60963
      1.60021      1.59154      1.58297      1.58053      1.59895      1.60714
      1.60113      1.57910      1.54544      1.51026      1.48044      1.46097
      1.44932      1.45383      1.44906      1.44922      1.46099      1.47172
      1.47773      1.48428      1.48997      1.48516      1.50124      1.54193
      1.61179      1.68156      1.73766      1.75867      1.75523      1.73257
      1.70410      1.68180      1.68393      1.69422      1.69599      1.68193
      1.65641      1.61565      1.56945      1.52738      1.50942      1.51934
      1.55100      1.58326      1.59308      1.57183      1.55156      1.42062
      1.48615
      4.27938      4.29015      4.28133      4.27834      4.27370      4.27153
      4.26532      4.25510      4.24511      4.23587      4.22223      4.20510
      4.19380      4.18370      4.17574      4.17011      4.17117      4.16861
      4.16373      4.15076      4.13431      4.11617      4.10263      4.09162
      4.08528      4.08374      4.08190      4.08081      4.08434      4.08787
      4.08962      4.09431      4.09658      4.09586      4.10347      4.12427
      4.15499      4.19029      4.21926      4.23083      4.23019      4.22234
      4.21278      4.20691      4.21123      4.22003      4.22548      4.22083
      4.21253      4.20062      4.18679      4.17488      4.17798      4.18977
      4.20828      4.22921      4.24178      4.23757      4.23770      4.19235
      4.23346
      4.96435      4.97198      4.96323      4.95790      4.95155      4.94706
      4.93900      4.92735      4.91671      4.90770      4.89376      4.87605
      4.86152      4.85073      4.84166      4.83518      4.83524      4.83365
      4.82646      4.81099      4.79332      4.77619      4.76103      4.75033
      4.74553      4.74525      4.74154      4.74021      4.74488      4.74799
      4.74988      4.75519      4.75775      4.75859      4.76551      4.78556
      4.81591      4.85140      4.87834      4.89133      4.89221      4.88591
      4.87780      4.87387      4.87809      4.88421      4.89058      4.88711
      4.87971      4.86838      4.85731      4.84681      4.85080      4.86177
      4.88275      4.90564      4.91924      4.91658      4.91894      4.87562
      4.91393
      4.34488      4.35914      4.35191      4.34776      4.34579      4.34458
      4.33654      4.32382      4.31535      4.30533      4.29038      4.26935
      4.25585      4.24494      4.23450      4.22875      4.23496      4.23632
      4.22967      4.21388      4.19147      4.16856      4.14939      4.13482
      4.12732      4.12953      4.12601      4.12699      4.13502      4.13929
      4.14136      4.14646      4.14909      4.14764      4.15639      4.18230
      4.22382      4.26802      4.30352      4.32009      4.31882      4.30703
      4.29325      4.28371      4.28839      4.29674      4.30225      4.29824
      4.28596      4.26728      4.24574      4.22887      4.22718      4.24012
      4.26239      4.28945      4.30075      4.29270      4.28713      4.22450
      4.26102
      3.55041      3.57552      3.57143      3.57357      3.57523      3.58318
      3.57686      3.56388      3.55399      3.54497      3.52374      3.49870
      3.48593      3.47444      3.46339      3.45860      3.46949      3.47204
      3.46754      3.44758      3.41621      3.38225      3.35682      3.33589
      3.32529      3.32954      3.33048      3.33197      3.34103      3.34996
      3.35358      3.36056      3.36176      3.35985      3.37075      3.40990
      3.46795      3.53482      3.58796      3.61111      3.60623      3.58884
      3.56537      3.54851      3.54965      3.55902      3.56087      3.54952
      3.52663      3.49677      3.46169      3.43146      3.42203      3.43432
      3.46180      3.49447      3.50851      3.49285      3.48115      3.37720
      3.43721
      2.42098      2.44876      2.46569      2.47555      2.48612      2.50058
      2.50104      2.48632      2.47307      2.46746      2.44360      2.40366
      2.37940      2.36533      2.35174      2.34406      2.36738      2.37971
      2.37165      2.33433      2.28567      2.23077      2.18594      2.15654
      2.14815      2.15280      2.15037      2.15046      2.16809      2.17877
      2.18868      2.20519      2.21131      2.21067      2.23360      2.30283
      2.40154      2.51293      2.59768      2.63076      2.62349      2.59291
      2.55374      2.52277      2.52180      2.52658      2.52623      2.49647
      2.45134      2.38961      2.32880      2.26785      2.25070      2.26277
      2.30985      2.35368      2.37272      2.33346      2.30385      2.10574
      2.19931
      1.19177      1.31682      1.34612      1.37591      1.41103      1.44971
      1.46322      1.44116      1.42939      1.41677      1.36389      1.28121
      1.22993      1.20505      1.17139      1.17081      1.22542      1.25474
      1.23478      1.16725      1.04513     0.905872     0.778061     0.664848
     0.617063     0.642355     0.608790     0.611893     0.707469     0.750350
     0.782756     0.830118     0.844877     0.829081     0.888736      1.07537
      1.31682      1.53964      1.69474      1.75032      1.73570      1.67562
      1.59551      1.53020      1.53025      1.54224      1.53594      1.47720
      1.37662      1.23537      1.05883     0.875388     0.807659     0.857105
     0.978751      1.10349      1.13179      1.01914     0.908827         -NaN
     0.447404
