; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          61
; Pressure [atm]: npro=         120
; Data: nlat x npro:           61 x          120
; 
; Latitude:
      -26.493814      -25.573352      -24.656660      -23.743531      -22.833765
      -21.927430      -21.024224      -20.124213      -19.227095      -18.332840
      -17.441416      -16.552518      -15.666112      -14.785691      -13.903969
      -13.024358      -12.146644      -11.266584      -10.396733      -9.5241894
      -8.6530999      -7.7832633      -6.9146424      -6.0525234      -5.1803297
      -4.3205584      -3.4556445      -2.5912654      -1.7306130     -0.86357678
   -0.0057189067      0.86087795       1.7221735       2.5888111       3.4509670
       4.3160766       5.1817931       6.0441501       6.9137572       7.7842884
       8.6539704       9.5249741       10.397432       11.271483       12.147258
       13.024886       13.904497       14.786220       15.668500       16.554913
       17.442127       18.333554       19.227811       20.124842       21.024855
       21.928063       22.834401       23.744079       24.657208       25.572526
       26.039007
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
     0.904786     0.998362     0.925215     0.922239     0.884735     0.864912
     0.864165     0.868966     0.889667     0.919003     0.949342     0.952039
     0.954493     0.962757     0.967145     0.972414     0.976228     0.960258
     0.930845     0.913402     0.891688     0.912433     0.931562     0.950878
     0.945869     0.945043     0.910471     0.889299     0.862582     0.861325
     0.861277     0.860118     0.858174     0.879958     0.905515     0.945405
      1.00898      1.06861      1.11166      1.11783      1.11072      1.08275
      1.07684      1.06109      1.05615      1.04031      1.03196     0.990573
     0.932501     0.888267     0.877854     0.879340     0.892263     0.909315
     0.893756     0.839779     0.740486     0.667447     0.591169     0.653339
     0.565272
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
      1.60044      1.59974      1.57894      1.57047      1.55057      1.53467
      1.53226      1.51995      1.52367      1.54402      1.56499      1.58750
      1.61023      1.62342      1.62142      1.61539      1.60390      1.59143
      1.57245      1.55453      1.55139      1.55681      1.56141      1.56196
      1.57100      1.56536      1.55250      1.54595      1.54425      1.54381
      1.54811      1.54273      1.53734      1.54408      1.57112      1.60893
      1.65244      1.69053      1.72137      1.71918      1.70218      1.68822
      1.68024      1.67668      1.68235      1.68340      1.66565      1.63120
      1.58504      1.55477      1.54022      1.54738      1.57118      1.58534
      1.57149      1.54033      1.48344      1.42605      1.35921      1.35883
      1.22352
      4.26737      4.26798      4.24857      4.23784      4.22293      4.20784
      4.20160      4.19360      4.18975      4.19111      4.19474      4.19457
      4.19486      4.19529      4.19056      4.18482      4.17752      4.16839
      4.15511      4.14306      4.13694      4.13742      4.13800      4.13763
      4.13913      4.13552      4.12742      4.12237      4.11991      4.11925
      4.11873      4.11710      4.11586      4.12065      4.13266      4.15117
      4.17152      4.19232      4.20868      4.21167      4.20913      4.20690
      4.20646      4.20739      4.21247      4.21561      4.21301      4.20260
      4.18986      4.18367      4.18177      4.18855      4.20415      4.21629
      4.21633      4.21222      4.19546      4.18051      4.16485      4.17092
      4.14084
      4.95517      4.94320      4.92856      4.91779      4.90335      4.88606
      4.87800      4.86969      4.86266      4.86370      4.86828      4.86678
      4.86736      4.86753      4.85884      4.85064      4.84232      4.83275
      4.81854      4.80815      4.80194      4.80157      4.79973      4.79836
      4.79756      4.79338      4.78425      4.77926      4.77806      4.77734
      4.77754      4.77736      4.77761      4.78228      4.79488      4.81316
      4.83428      4.85360      4.86803      4.87157      4.86970      4.86663
      4.86632      4.86985      4.87567      4.88021      4.87913      4.87100
      4.85891      4.85478      4.85378      4.86078      4.87689      4.88990
      4.89185      4.88935      4.87609      4.86319      4.84806      4.85595
      4.81926
      4.33079      4.32459      4.30624      4.29468      4.27818      4.26217
      4.25412      4.24145      4.23866      4.24521      4.25199      4.25898
      4.26606      4.26911      4.25927      4.25377      4.24399      4.23406
      4.21753      4.20770      4.19905      4.20023      4.19779      4.19774
      4.19833      4.19632      4.18546      4.18171      4.18059      4.17790
      4.17732      4.17502      4.17304      4.17651      4.19413      4.21725
      4.24445      4.27044      4.28956      4.29061      4.28510      4.28027
      4.27951      4.28149      4.28869      4.29157      4.28562      4.27042
      4.24877      4.23627      4.23333      4.24054      4.25569      4.27075
      4.27151      4.26308      4.23973      4.22091      4.19515      4.20974
      4.14246
      3.52005      3.52497      3.50516      3.49494      3.47782      3.45996
      3.45363      3.44196      3.44137      3.45468      3.46937      3.48173
      3.49514      3.50549      3.49797      3.49241      3.48190      3.46840
      3.44605      3.42949      3.42093      3.42452      3.42564      3.42924
      3.43351      3.43080      3.41672      3.41171      3.40793      3.40782
      3.40564      3.40288      3.39780      3.40532      3.42828      3.46389
      3.50313      3.54377      3.57021      3.57055      3.55865      3.54893
      3.54300      3.54374      3.55033      3.55188      3.53869      3.50999
      3.47412      3.45164      3.44365      3.45224      3.47220      3.48800
      3.48381      3.46412      3.42160      3.38358      3.33874      3.33838
      3.25421
      2.37019      2.36888      2.34844      2.34241      2.31529      2.28413
      2.28040      2.27444      2.27751      2.31103      2.34847      2.37220
      2.39973      2.42072      2.41634      2.40923      2.39621      2.37451
      2.33692      2.31013      2.30142      2.31461      2.32661      2.33484
      2.34388      2.33436      2.30796      2.29725      2.29698      2.29535
      2.29950      2.29382      2.28480      2.29490      2.33743      2.39799
      2.46634      2.52844      2.57201      2.57328      2.54901      2.52465
      2.50890      2.50583      2.50952      2.51114      2.48983      2.43971
      2.37255      2.32883      2.30080      2.30395      2.33842      2.35510
      2.33781      2.29473      2.21473      2.12765      2.03282      2.01920
      1.84540
      1.07107      1.13005      1.04237      1.03741     0.970857     0.897821
     0.910779     0.904401     0.932310      1.02739      1.12642      1.19519
      1.26143      1.30487      1.30095      1.28929      1.26644      1.23304
      1.15575      1.09604      1.07125      1.10446      1.12436      1.14599
      1.17816      1.17684      1.12050      1.09663      1.09294      1.08399
      1.08231      1.06049      1.04778      1.07577      1.17817      1.31451
      1.44837      1.56401      1.64501      1.64506      1.59956      1.55949
      1.52763      1.51280      1.51599      1.51515      1.46178      1.35669
      1.20029      1.08467      1.00101      1.00523      1.07269      1.11487
      1.05361     0.927997     0.619209         -NaN         -NaN         -NaN
         -NaN
