; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          61
; Pressure [atm]: npro=         120
; Data: nlat x npro:           61 x          120
; 
; Latitude:
      -26.492338      -25.571976      -24.655196      -23.743531      -22.833765
      -21.927430      -21.024224      -20.124213      -19.227095      -18.332840
      -17.441416      -16.554292      -15.667881      -14.783838      -13.903969
      -13.024358      -12.144628      -11.270870      -10.394551      -9.5241894
      -8.6554410      -7.7857569      -6.9146771      -6.0497842      -5.1832308
      -4.3174435      -3.4556445      -2.5912654      -1.7306130     -0.86357678
   -0.0028594533      0.86087795       1.7221476       2.5863828       3.4509929
       4.3160506       5.1796455       6.0483367       6.9137572       7.7822987
       8.6520559       9.5249741       10.397432       11.271483       12.145591
       13.023216       13.901151       14.782954       15.666996       16.553317
       17.442215       18.333554       19.227811       20.124842       21.024855
       21.928063       22.834401       23.744079       24.655837       25.572526
       26.492892
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
      1.00922     0.876838     0.979244     0.976213     0.992688      1.00066
      1.01023      1.01198      1.02107      1.00320     0.976747     0.916065
     0.808203     0.718635     0.707815     0.680842     0.667513     0.751896
     0.786185     0.743998     0.690225     0.655364     0.632001     0.602510
     0.628316     0.717919     0.772373     0.771376     0.752975     0.756058
     0.716358     0.765293     0.829959     0.907257     0.991077      1.05632
      1.11401      1.15980      1.22110      1.23965      1.26248      1.26196
      1.26766      1.19784      1.05579     0.803911     0.404551         -NaN
         -NaN         -NaN     0.265687     0.628771     0.773669     0.830312
     0.846943     0.877833     0.848367     0.794578     0.722914     0.640721
     0.340104
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN    0.0752882     0.258943     0.300250
     0.273814         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
      1.63184      1.62432      1.60979      1.60101      1.59848      1.61181
      1.63064      1.65226      1.66602      1.66750      1.63345      1.57043
      1.48363      1.40917      1.37086      1.36780      1.38362      1.42082
      1.44321      1.42356      1.37387      1.34109      1.32644      1.32448
      1.34330      1.39328      1.42379      1.41790      1.40021      1.38306
      1.38650      1.41815      1.48109      1.55885      1.63790      1.70413
      1.75739      1.80534      1.84423      1.87156      1.89083      1.90197
      1.90023      1.85151      1.72613      1.49550      1.22435     0.990510
     0.880357     0.967826      1.18893      1.38177      1.47701      1.51590
      1.52466      1.52949      1.51511      1.47536      1.41541      1.32458
      1.18030
      4.28689      4.27027      4.26367      4.25280      4.24608      4.24245
      4.24463      4.24512      4.24619      4.24025      4.22036      4.18650
      4.14762      4.11163      4.09122      4.08542      4.08690      4.09937
      4.10536      4.09682      4.07411      4.05761      4.04633      4.04337
      4.04550      4.06227      4.07387      4.07092      4.06229      4.05778
      4.05823      4.07036      4.09558      4.12719      4.16131      4.19152
      4.21626      4.23920      4.26210      4.27534      4.28701      4.29687
      4.30085      4.27788      4.22586      4.13287      4.03901      3.97407
      3.95261      3.98112      4.05292      4.12385      4.16579      4.18861
      4.19735      4.20726      4.20894      4.20049      4.18323      4.16125
      4.11492
      4.96473      4.96206      4.94541      4.93285      4.92418      4.92038
      4.92170      4.92019      4.92184      4.91165      4.89005      4.85433
      4.81420      4.77873      4.76066      4.75401      4.75542      4.76665
      4.77067      4.75949      4.73642      4.71960      4.70914      4.70408
      4.70612      4.72135      4.73418      4.73247      4.72592      4.72264
      4.72392      4.73417      4.75738      4.78858      4.82178      4.85151
      4.87756      4.90234      4.92495      4.93818      4.95134      4.96102
      4.96414      4.94315      4.89346      4.80236      4.71030      4.64733
      4.62584      4.65340      4.72640      4.79768      4.84126      4.86540
      4.87697      4.88677      4.89075      4.88350      4.86892      4.84525
      4.80709
      4.34540      4.34411      4.32745      4.31611      4.30752      4.30833
      4.31185      4.31576      4.31949      4.31243      4.28862      4.24653
      4.19221      4.14896      4.12536      4.11528      4.11963      4.13703
      4.14283      4.12971      4.10166      4.08104      4.07222      4.06754
      4.07466      4.09912      4.11647      4.11284      4.10436      4.09666
      4.09677      4.11159      4.14336      4.18625      4.23180      4.27253
      4.30624      4.33771      4.36553      4.38426      4.39890      4.40982
      4.41233      4.38343      4.30916      4.18274      4.05133      3.95827
      3.92301      3.96061      4.05709      4.15417      4.21231      4.24173
      4.25444      4.26522      4.26366      4.24625      4.22044      4.17657
      4.11929
      3.55119      3.54400      3.53501      3.52396      3.51997      3.52870
      3.53879      3.55078      3.56342      3.55674      3.52492      3.46760
      3.39187      3.32720      3.29650      3.28685      3.29613      3.32847
      3.34210      3.32500      3.28520      3.25870      3.24251      3.23973
      3.25404      3.29189      3.31717      3.31344      3.29995      3.28730
      3.28766      3.31108      3.35989      3.42146      3.48789      3.54700
      3.59406      3.63568      3.67589      3.70121      3.71943      3.73391
      3.73456      3.68931      3.57835      3.38707      3.18200      3.03754
      2.97799      3.03117      3.17597      3.32037      3.39688      3.43562
      3.44860      3.46086      3.45213      3.42328      3.37712      3.30935
      3.20912
      2.42229      2.39629      2.39329      2.37894      2.38295      2.40792
      2.43905      2.46491      2.49379      2.49058      2.43791      2.34188
      2.21381      2.09786      2.04564      2.03616      2.05796      2.12435
      2.16081      2.13183      2.06025      2.00940      1.97967      1.97201
      1.99488      2.07080      2.12228      2.12043      2.09734      2.07999
      2.08082      2.12609      2.21422      2.32523      2.44063      2.54088
      2.61979      2.69237      2.75080      2.78679      2.81450      2.83003
      2.82561      2.75171      2.57042      2.22620      1.82310      1.47719
      1.31713      1.44081      1.77866      2.06222      2.20270      2.26302
      2.27836      2.28308      2.26424      2.20514      2.11430      1.97986
      1.77202
      1.19467      1.20324      1.17521      1.16108      1.16964      1.23403
      1.30661      1.37528      1.43295      1.43720      1.33815      1.11612
     0.751398         -NaN         -NaN         -NaN         -NaN     0.403813
     0.605908     0.481273         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN     0.467591     0.438102     0.290342         -NaN
    0.0590920     0.488478     0.830682      1.13733      1.39552      1.58799
      1.72976      1.85834      1.95699      2.01689      2.06289      2.09080
      2.08176      1.95955      1.63202     0.822732         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN     0.661702     0.850290
     0.896947     0.904735     0.823905     0.585218         -NaN         -NaN
         -NaN
